Epoch	Accuracy	Loss
1	0.5029	0.8954
2	0.5037	0.8917
3	0.5049	0.8895
4	0.5049	0.8879
5	0.5096	0.8866
6	0.5125	0.8843
7	0.5174	0.8838
8	0.5208	0.8836
9	0.5252	0.8823
10	0.5300	0.8796
11	0.5345	0.8794
12	0.5375	0.8763
13	0.5384	0.8720
14	0.5390	0.8720
15	0.5430	0.8720
16	0.5438	0.8675
17	0.5477	0.8650
18	0.5519	0.8646
19	0.5541	0.8622
20	0.5578	0.8574
21	0.5623	0.8551
22	0.5644	0.8546
23	0.5658	0.8518
24	0.5670	0.8514
25	0.5689	0.8467
26	0.5710	0.8465
27	0.5714	0.8436
28	0.5755	0.8423
29	0.5791	0.8422
30	0.5812	0.8410
31	0.5837	0.8363
32	0.5883	0.8347
33	0.5904	0.8321
34	0.5944	0.8274
35	0.5957	0.8229
36	0.6001	0.8197
37	0.6013	0.8175
38	0.6032	0.8136
39	0.6048	0.8110
40	0.6059	0.8081
41	0.6100	0.8053
42	0.6112	0.8004
43	0.6118	0.7990
44	0.6119	0.7951
45	0.6128	0.7944
46	0.6160	0.7939
47	0.6205	0.7930
48	0.6236	0.7911
49	0.6239	0.7883
50	0.6259	0.7838
51	0.6279	0.7830
52	0.6286	0.7825
53	0.6314	0.7821
54	0.6360	0.7815
55	0.6372	0.7779
56	0.6393	0.7733
57	0.6443	0.7693
58	0.6478	0.7673
59	0.6520	0.7672
60	0.6524	0.7664
61	0.6535	0.7621
62	0.6571	0.7601
63	0.6605	0.7565
64	0.6628	0.7556
65	0.6657	0.7538
66	0.6698	0.7535
67	0.6713	0.7503
68	0.6718	0.7472
69	0.6719	0.7448
70	0.6756	0.7446
71	0.6764	0.7399
72	0.6798	0.7376
73	0.6818	0.7336
74	0.6830	0.7287
75	0.6853	0.7257
76	0.6853	0.7251
77	0.6891	0.7208
78	0.6913	0.7195
79	0.6922	0.7168
80	0.6922	0.7132
81	0.6949	0.7083
82	0.6979	0.7049
83	0.6991	0.7005
84	0.6994	0.6995
85	0.7041	0.6978
86	0.7054	0.6950
87	0.7090	0.6917
88	0.7137	0.6916
89	0.7146	0.6877
90	0.7146	0.6833
91	0.7172	0.6820
92	0.7178	0.6776
93	0.7200	0.6733
94	0.7208	0.6689
95	0.7218	0.6687
96	0.7256	0.6641
97	0.7263	0.6625
98	0.7277	0.6607
99	0.7323	0.6570
100	0.7340	0.6529
